path,type,detected_license_expression,detected_license_expression_spdx,percentage_of_license_text,scan_errors,license_expression,detection_log,license_match__score,start_line,end_line,license_match__matched_length,license_match__match_coverage,license_match__matcher,license_match__license_expression,license_match__rule_identifier,license_match__rule_relevance,license_match__rule_url,copyright,holder
LibreLists/,directory,,,0,,,,,,,,,,,,,,,
LibreLists/app.py,file,,,0,,,,,,,,,,,,,,,
LibreLists/LICENSE,file,gpl-3.0,GPL-3.0-only,100.0,,,,,,,,,,,,,,,
LibreLists/LICENSE,,,,,,gpl-3.0,,100.00,1,674,5514,100.00,1-hash,gpl-3.0,gpl-3.0.LICENSE,100.00,https://github.com/nexB/scancode-toolkit/tree/develop/src/licensedcode/data/licenses/gpl-3.0.LICENSE,,
LibreLists/LICENSE,,,,,,,,,4,4,,,,,,,,"Copyright (c) 2007 Free Software Foundation, Inc. <https://fsf.org/>",
LibreLists/LICENSE,,,,,,,,,4,4,,,,,,,,,"Free Software Foundation, Inc."
LibreLists/README.md,file,gpl-3.0 AND gpl-1.0-plus,GPL-3.0-only AND GPL-1.0-or-later,9.23,,,,,,,,,,,,,,,
LibreLists/README.md,,,,,,gpl-3.0 AND gpl-1.0-plus,,100.00,8,8,10,100.00,2-aho,gpl-3.0,gpl-3.0_155.RULE,100.00,https://github.com/nexB/scancode-toolkit/tree/develop/src/licensedcode/data/rules/gpl-3.0_155.RULE,,
LibreLists/README.md,,,,,,gpl-3.0 AND gpl-1.0-plus,,100.00,8,8,2,100.00,2-aho,gpl-1.0-plus,gpl_72.RULE,100.00,https://github.com/nexB/scancode-toolkit/tree/develop/src/licensedcode/data/rules/gpl_72.RULE,,
LibreLists/config/,directory,,,0,,,,,,,,,,,,,,,
LibreLists/config/addons.json,file,,,0,,,,,,,,,,,,,,,
LibreLists/config/config.json,file,,,0,,,,,,,,,,,,,,,
LibreLists/config/info.json,file,,,0,,,,,,,,,,,,,,,
LibreLists/config/tables.json,file,,,0,,,,,,,,,,,,,,,
LibreLists/docs/,directory,,,0,,,,,,,,,,,,,,,
LibreLists/docs/Global Functions.md,file,,,0,,,,,,,,,,,,,,,
LibreLists/res/,directory,,,0,,,,,,,,,,,,,,,
LibreLists/res/1.png,file,,,0,,,,,,,,,,,,,,,
LibreLists/res/2.png,file,,,0,,,,,,,,,,,,,,,
LibreLists/res/3.png,file,,,0,,,,,,,,,,,,,,,
LibreLists/res/4.png,file,,,0,,,,,,,,,,,,,,,
LibreLists/res/5.png,file,,,0,,,,,,,,,,,,,,,
LibreLists/static/,directory,,,0,,,,,,,,,,,,,,,
LibreLists/static/favicon.ico,file,,,0,,,,,,,,,,,,,,,
LibreLists/static/logo.svg,file,,,0,,,,,,,,,,,,,,,
LibreLists/static/about/,directory,,,0,,,,,,,,,,,,,,,
LibreLists/static/about/about.html,file,gpl-3.0,GPL-3.0-only,8.41,,,,,,,,,,,,,,,
LibreLists/static/about/about.html,,,,,,gpl-3.0,,100.00,20,20,9,100.00,2-aho,gpl-3.0,gpl-3.0_554.RULE,100.00,https://github.com/nexB/scancode-toolkit/tree/develop/src/licensedcode/data/rules/gpl-3.0_554.RULE,,
LibreLists/static/about/changelog.txt,file,,,0,,,,,,,,,,,,,,,
LibreLists/static/addons/,directory,,,0,,,,,,,,,,,,,,,
LibreLists/static/addons/keyboard.js,file,,,0,,,,,,,,,,,,,,,
LibreLists/static/addons/otherApps.js,file,,,0,,,,,,,,,,,,,,,
LibreLists/static/addons/SQLFilters.js,file,,,0,,,,,,,,,,,,,,,
LibreLists/static/css/,directory,,,0,,,,,,,,,,,,,,,
LibreLists/static/css/dialogue.css,file,,,0,,,,,,,,,,,,,,,
LibreLists/static/css/style.css,file,,,0,,,,,,,,,,,,,,,
LibreLists/static/css/themes/,directory,,,0,,,,,,,,,,,,,,,
LibreLists/static/css/themes/light.css,file,,,0,,,,,,,,,,,,,,,
LibreLists/static/fonts/,directory,,,0,,,,,,,,,,,,,,,
LibreLists/static/fonts/AurulentSansMNerdFontMono-Regular.otf,file,ofl-1.1,OFL-1.1,9.65,,,,,,,,,,,,,,,
LibreLists/static/fonts/AurulentSansMNerdFontMono-Regular.otf,,,,,,ofl-1.1,,50.00,12,12,2,100.00,2-aho,unknown-license-reference,license-intro_2.RULE,50.00,https://github.com/nexB/scancode-toolkit/tree/develop/src/licensedcode/data/rules/license-intro_2.RULE,,
LibreLists/static/fonts/AurulentSansMNerdFontMono-Regular.otf,,,,,,ofl-1.1,,50.00,12,12,3,100.00,2-aho,ofl-1.1,spdx_license_id_ofl-1.1_for_ofl-1.1.RULE,50.00,https://github.com/nexB/scancode-toolkit/tree/develop/src/licensedcode/data/rules/spdx_license_id_ofl-1.1_for_ofl-1.1.RULE,,
LibreLists/static/fonts/AurulentSansMNerdFontMono-Regular.otf,,,,,,ofl-1.1,,50.00,13,13,2,100.00,2-aho,unknown-license-reference,license-intro_2.RULE,50.00,https://github.com/nexB/scancode-toolkit/tree/develop/src/licensedcode/data/rules/license-intro_2.RULE,,
LibreLists/static/fonts/AurulentSansMNerdFontMono-Regular.otf,,,,,,ofl-1.1,,50.00,13,13,3,100.00,2-aho,ofl-1.1,spdx_license_id_ofl-1.1_for_ofl-1.1.RULE,50.00,https://github.com/nexB/scancode-toolkit/tree/develop/src/licensedcode/data/rules/spdx_license_id_ofl-1.1_for_ofl-1.1.RULE,,
LibreLists/static/fonts/AurulentSansMNerdFontMono-Regular.otf,,,,,,ofl-1.1,,99.85,26,98,678,100.00,2-aho,ofl-1.1,ofl-1.1_10.RULE,100.00,https://github.com/nexB/scancode-toolkit/tree/develop/src/licensedcode/data/rules/ofl-1.1_10.RULE,,
LibreLists/static/fonts/AurulentSansMNerdFontMono-Regular.otf,,,,,,ofl-1.1,,99.85,99,171,678,100.00,2-aho,ofl-1.1,ofl-1.1_10.RULE,100.00,https://github.com/nexB/scancode-toolkit/tree/develop/src/licensedcode/data/rules/ofl-1.1_10.RULE,,
LibreLists/static/fonts/AurulentSansMNerdFontMono-Regular.otf,,,,,,ofl-1.1,,100.00,172,172,5,100.00,2-aho,ofl-1.1,ofl-1.1_3.RULE,100.00,https://github.com/nexB/scancode-toolkit/tree/develop/src/licensedcode/data/rules/ofl-1.1_3.RULE,,
LibreLists/static/fonts/AurulentSansMNerdFontMono-Regular.otf,,,,,,ofl-1.1,,100.00,173,173,5,100.00,2-aho,ofl-1.1,ofl-1.1_3.RULE,100.00,https://github.com/nexB/scancode-toolkit/tree/develop/src/licensedcode/data/rules/ofl-1.1_3.RULE,,
LibreLists/static/fonts/AurulentSansMNerdFontMono-Regular.otf,,,,,,,,,12,12,,,,,,,,"Copyright (c) 2007, Stephen G. Hartke (lastname at gmail dot com)",
LibreLists/static/fonts/AurulentSansMNerdFontMono-Regular.otf,,,,,,,,,13,13,,,,,,,,"Copyright (c) 2007, Stephen G. Hartke (lastname at gmail dot com)",
LibreLists/static/fonts/AurulentSansMNerdFontMono-Regular.otf,,,,,,,,,26,26,,,,,,,,"Copyright (c) 2007, Stephen G. Hartke (lastname at gmail dot com)",
LibreLists/static/fonts/AurulentSansMNerdFontMono-Regular.otf,,,,,,,,,99,99,,,,,,,,"Copyright (c) 2007, Stephen G. Hartke (lastname at gmail dot com)",
LibreLists/static/fonts/AurulentSansMNerdFontMono-Regular.otf,,,,,,,,,12,12,,,,,,,,,Stephen G. Hartke (lastname at gmail dot com)
LibreLists/static/fonts/AurulentSansMNerdFontMono-Regular.otf,,,,,,,,,13,13,,,,,,,,,Stephen G. Hartke (lastname at gmail dot com)
LibreLists/static/fonts/AurulentSansMNerdFontMono-Regular.otf,,,,,,,,,26,26,,,,,,,,,Stephen G. Hartke (lastname at gmail dot com)
LibreLists/static/fonts/AurulentSansMNerdFontMono-Regular.otf,,,,,,,,,99,99,,,,,,,,,Stephen G. Hartke (lastname at gmail dot com)
LibreLists/static/js/,directory,,,0,,,,,,,,,,,,,,,
LibreLists/static/js/addons.js,file,gpl-3.0-plus,GPL-3.0-or-later,49.23,,,,,,,,,,,,,,,
LibreLists/static/js/addons.js,,,,,,gpl-3.0-plus,,97.96,4,15,96,100.00,3-seq,gpl-3.0-plus,gpl-3.0-plus_56.RULE,100.00,https://github.com/nexB/scancode-toolkit/tree/develop/src/licensedcode/data/rules/gpl-3.0-plus_56.RULE,,
LibreLists/static/js/global.js,file,gpl-3.0-plus,GPL-3.0-or-later,18.86,,,,,,,,,,,,,,,
LibreLists/static/js/global.js,,,,,,gpl-3.0-plus,,97.96,4,15,96,100.00,3-seq,gpl-3.0-plus,gpl-3.0-plus_56.RULE,100.00,https://github.com/nexB/scancode-toolkit/tree/develop/src/licensedcode/data/rules/gpl-3.0-plus_56.RULE,,
LibreLists/static/js/pops.js,file,gpl-3.0-plus,GPL-3.0-or-later,13.11,,,,,,,,,,,,,,,
LibreLists/static/js/pops.js,,,,,,gpl-3.0-plus,,100.00,6,17,102,100.00,2-aho,gpl-3.0-plus,gpl-3.0-plus_290.RULE,100.00,https://github.com/nexB/scancode-toolkit/tree/develop/src/licensedcode/data/rules/gpl-3.0-plus_290.RULE,,
LibreLists/static/js/pops.js,,,,,,,,,4,4,,,,,,,,Copyright (c) 2023 Adrian Bogdan,
LibreLists/static/js/pops.js,,,,,,,,,4,4,,,,,,,,,Adrian Bogdan
LibreLists/static/js/utils.js,file,gpl-3.0-plus,GPL-3.0-or-later,13.71,,,,,,,,,,,,,,,
LibreLists/static/js/utils.js,,,,,,gpl-3.0-plus,,97.96,4,15,96,100.00,3-seq,gpl-3.0-plus,gpl-3.0-plus_56.RULE,100.00,https://github.com/nexB/scancode-toolkit/tree/develop/src/licensedcode/data/rules/gpl-3.0-plus_56.RULE,,
LibreLists/templates/,directory,,,0,,,,,,,,,,,,,,,
LibreLists/templates/base.html,file,,,0,,,,,,,,,,,,,,,
LibreLists/templates/edit.html,file,,,0,,,,,,,,,,,,,,,
LibreLists/templates/index.html,file,,,0,,,,,,,,,,,,,,,
LibreLists/templates/dialogues/,directory,,,0,,,,,,,,,,,,,,,
LibreLists/templates/dialogues/addColumn.html,file,,,0,,,,,,,,,,,,,,,
LibreLists/templates/dialogues/addRecord.html,file,,,0,,,,,,,,,,,,,,,
LibreLists/templates/dialogues/base.html,file,,,0,,,,,,,,,,,,,,,
LibreLists/templates/dialogues/createTable.html,file,,,0,,,,,,,,,,,,,,,
LibreLists/templates/dialogues/editRecord.html,file,,,0,,,,,,,,,,,,,,,
